---- 01/05/2023 04:54:23 UTC ----
FAIL addison.is-a-frontend.dev CNAME addison.is-a.dev: [object Object]
FAIL alrakib.is-a-frontend.dev A 172.104.51.65: [object Object]
FAIL axorax.is-a-fullstack.dev CNAME axorax.github.io: [object Object]
FAIL cat.is-a-backend.dev A 34.149.204.188: [object Object]
FAIL cat.is-a-frontend.dev A 34.149.204.188: [object Object]
FAIL dan.is-a-backend.dev CNAME dkwygtig.github.io: [object Object]
FAIL futbol.is-a-fullstack.dev A 45.55.110.124: [object Object]
FAIL kuma.is-a-backend.dev CNAME 1af9fbf5-d777-4dca-945f-7fa34b2cf4ae.cfargotunnel.com: [object Object]
FAIL mahidoodi.is-a-backend.dev CNAME crimson-lab-e0b9.powerfull.workers.dev: [object Object]
FAIL maskduck.is-a-backend.dev CNAME maskduck.pages.dev: [object Object]
FAIL parsa.is-a-backend.dev CNAME www.parsa-alidoust.ir: [object Object]
FAIL parsa.is-a-frontend.dev CNAME www.parsa-alidoust.ir: [object Object]
FAIL priyansh.is-a-backend.dev CNAME edge.redirect.pizza: [object Object]
FAIL priyansh.is-a-frontend.dev CNAME edge.redirect.pizza: [object Object]
FAIL priyansh.is-a-fullstack.dev CNAME edge.redirect.pizza: [object Object]
FAIL rasofex.is-a-fullstack.dev A 217.18.61.157: [object Object]
FAIL revelav2.is-a-backend.dev CNAME proxy.revela-network.com: [object Object]
FAIL robsd.is-a-backend.dev CNAME robsd.pages.dev: [object Object]
FAIL robsd.is-a-frontend.dev CNAME robsd.pages.dev: [object Object]
FAIL robsd.is-a-fullstack.dev CNAME robsd.pages.dev: [object Object]
FAIL scronite.is-a-backend.dev CNAME ammazon-api.onrender.com: [object Object]
FAIL simpuskapa.is-a-backend.dev A 103.150.190.176: [object Object]
FAIL simpuskapa.is-a-frontend.dev A 103.150.190.176: [object Object]
FAIL test.is-a-backend.dev A 0.0.0.0: [object Object]
FAIL test.is-a-backend.dev A 1.1.1.1: [object Object]
FAIL ui.is-a-fullstack.dev CNAME sex-m3k9.onrender.com: [object Object]
FAIL valorshoired.is-a-frontend.dev A 172.16.0.4: [object Object]
FAIL valorshoired.is-a-fullstack.dev A 172.16.0.4: [object Object]
FAIL verbalize.is-a-fullstack.dev A 71.71.27.27: [object Object]
FAIL william.is-a-backend.dev CNAME wdhdns.com: [object Object]
FAIL william.is-a-frontend.dev CNAME wdhdns.com: [object Object]
FAIL william.is-a-fullstack.dev CNAME wdhdns.com: [object Object]
FAIL zagorod.is-a-frontend.dev A 45.91.94.147: [object Object]
FAIL zagorod.is-a-fullstack.dev A 45.91.94.147: [object Object]
